scaling,mpi_ranks,omp_threads,n_estimators,max_depth,criteria,which_loss_function,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std
strong,1,1,200,10,0,0,27.535700000000002,0.03268424697006259,0.112886,0.0006189173342754804,2.310376666666667e-05,3.5807187670758137e-07,0.0029266366666666666,4.617332082009675e-06
strong,1,2,200,10,0,0,14.048133333333334,0.26975633861361276,0.12351433333333334,0.00035296962412586727,2.38938e-05,5.389497008070418e-07,0.0029780666666666664,2.9926557139474307e-05
strong,1,3,200,10,0,0,9.992723333333332,0.279795241123854,0.13328033333333333,0.0012023380925883103,2.2579866666666667e-05,3.4800465833408457e-07,0.002922916666666666,1.6449823369534558e-05
strong,1,4,200,10,0,0,9.048743333333334,0.09900968886371093,0.14737566666666665,0.0005441576568932544,2.2761533333333332e-05,3.605789079922577e-07,0.002924023333333333,8.597303194736237e-06
strong,1,5,200,10,0,0,8.325836666666666,0.3145300242513515,0.15014566666666665,0.0007774558222532994,2.28959e-05,4.86030252830692e-07,0.0029312,2.260416333333317e-05
strong,1,6,200,10,0,0,8.944719999999998,0.04238637595580331,0.15278233333333333,0.0018236465910062992,2.2406733333333337e-05,3.2168108775963464e-07,0.0029189466666666667,2.0496182300342792e-05
strong,2,1,200,10,0,0,27.848133333333333,0.007979278719839862,0.09570126666666667,0.00134967604096522,2.3771066666666667e-05,3.287264043074255e-07,0.00296162,1.953294823283634e-05
strong,2,2,200,10,0,0,16.150066666666664,0.11785794651000728,0.1047727,0.005039716266484324,2.2871233333333332e-05,1.0346211684583976e-06,0.0029291866666666666,4.214707766329178e-05
strong,2,3,200,10,0,0,9.658163333333333,0.21656061142835364,0.10591480000000002,0.01358883363942616,2.39606e-05,1.2432552781575748e-06,0.0029520566666666665,5.186665231362275e-05
strong,2,4,200,10,0,0,8.926656666666666,0.14797263020196963,0.1203,0.0010433628323838309,2.26752e-05,1.5456004227052583e-07,0.0029034066666666666,1.0096072943916803e-05
strong,2,5,200,10,0,0,7.78125,0.31981925551786294,0.11224493333333334,0.018868218488829896,2.29291e-05,6.06198487845909e-07,0.0029307366666666665,1.7499137756536026e-05
strong,2,6,200,10,0,0,7.954716666666667,0.3198390335083504,0.12364833333333332,0.006449791435043119,2.3524566666666665e-05,5.709625459597928e-07,0.00294991,3.3089382990117316e-05
strong,3,1,200,10,0,0,28.054166666666664,0.03562492884983224,0.09227673333333335,0.002846321785899988,2.3932933333333336e-05,3.3088376945520935e-07,0.0029857033333333337,5.688387781749387e-06
strong,3,2,200,10,0,0,17.16,0.14050326212108674,0.09984496666666666,0.0005784062720575838,2.3110666666666665e-05,2.1793767202778284e-07,0.0029295366666666667,1.2728593358611437e-05
strong,3,3,200,10,0,0,9.477016666666666,0.17282532710482248,0.07511493333333334,0.02820826165202118,2.3567066666666667e-05,1.3685947375156544e-07,0.002933536666666667,2.2346979413085955e-05
strong,3,4,200,10,0,0,8.97989,0.11223160814434895,0.108306,0.003121511172493222,2.337303333333333e-05,1.5050929834694238e-07,0.0029202266666666665,1.1643997977021919e-05
strong,3,5,200,10,0,0,7.113276666666667,0.1293169255056051,0.09395856666666667,0.028331588123074843,2.3500066666666665e-05,6.683968747849005e-07,0.0029461766666666668,2.3548027990093386e-05
strong,3,6,200,10,0,0,7.8758566666666665,0.23070571533641912,0.11824266666666666,0.003095871695590041,2.36588e-05,7.077006193770558e-07,0.002952213333333333,7.565079128616115e-06
strong,4,1,200,10,0,0,27.919833333333333,0.030374367848931893,0.088055,0.004519009392186154,2.3215566666666665e-05,4.893531944198274e-07,0.0029436633333333336,1.8958717138972193e-05
strong,4,2,200,10,0,0,17.273666666666667,0.1750222906438562,0.07713883333333334,0.022984931856230413,2.3146233333333336e-05,8.760264772761664e-07,0.002936793333333333,4.9447619648360064e-05
strong,4,3,200,10,0,0,9.796853333333333,0.13932671539307268,0.0658333,0.02525668910962005,2.4119800000000002e-05,5.309276096292854e-07,0.002953896666666667,8.655735413906527e-06
strong,4,4,200,10,0,0,9.088053333333333,0.050243926553918586,0.06115419999999999,0.030529607464667256,2.3439333333333328e-05,7.364492891948199e-07,0.0029366299999999995,2.995372876065123e-05
