scaling,model,max_depth,num_threads,use_omp,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std,n_estimators,learning_rate,num_leaves,subsample,colsample_bytree,min_data_leaf,num_bins,use_dart,dropout_rate,skip_drop_rate,binning_method
strong,DecisionTree,10,1,1,0.134422,0.00029452334372678086,0.0003121656666666667,9.687071567587167e-06,3.84635e-05,0.0,0.00342606,0.0,,,,,,,,,,,
strong,DecisionTree,10,2,1,0.0856728,0.00013728818837273416,0.0003456023333333333,7.405044826933116e-06,3.84635e-05,0.0,0.00342606,0.0,,,,,,,,,,,
strong,DecisionTree,10,4,1,0.057686966666666666,0.0003347926953935646,0.0003570623333333333,9.86578712295962e-06,3.84635e-05,0.0,0.00342606,0.0,,,,,,,,,,,
strong,DecisionTree,10,6,1,0.06047929999999999,0.0016599027461470964,0.0003495323333333334,5.6792507330534926e-06,3.84635e-05,0.0,0.00342606,0.0,,,,,,,,,,,
strong,Bagging,10,1,1,27.393533333333334,0.11959591223040215,0.113456,0.00038545816893665474,2.3228733333333333e-05,6.380762824476572e-07,,,200.0,,,,,,,,,,
strong,Bagging,10,2,1,8.760706666666666,0.0549328222063599,0.11184933333333334,0.0002674326498807174,2.4601033333333334e-05,7.285530561019976e-08,,,200.0,,,,,,,,,,
strong,Bagging,10,4,1,4.931889999999999,0.049307409179554326,0.13767866666666664,0.0039131849205247485,2.287843333333333e-05,9.192091105340998e-07,,,200.0,,,,,,,,,,
strong,Bagging,10,6,1,5.096576666666667,0.08137703620937696,0.16434866666666667,0.0034231405008980998,2.3724433333333333e-05,1.0531975387151053e-06,,,200.0,,,,,,,,,,
strong,Boosting,10,1,1,3.8631266666666666,0.005973052448753094,0.007098323333333333,6.538737968616137e-05,1.53122e-05,0.0,,,200.0,0.1,,,,,,,,,
strong,Boosting,10,2,1,2.8932233333333333,0.0029900761788884153,0.0064299,4.797395126524339e-06,1.53122e-05,0.0,,,200.0,0.1,,,,,,,,,
strong,Boosting,10,4,1,2.2779333333333334,0.014087101271099802,0.004000733333333333,0.00012462433184931766,1.53122e-05,0.0,,,200.0,0.1,,,,,,,,,
strong,Boosting,10,6,1,2.321676666666667,0.017708955047909623,0.0029979700000000004,0.0002683000985215373,1.53122e-05,0.0,,,200.0,0.1,,,,,,,,,
strong,LightGBM,10,1,1,0.16107533333333332,0.00010177535174206872,0.0547944,0.0003450579758050318,6.56752e-05,0.0,0.005725709999999999,8.673617379884035e-19,200.0,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,10,2,1,0.173242,0.0019797284325550023,0.027820166666666663,0.00041460559839710505,6.56752e-05,0.0,0.005725709999999999,8.673617379884035e-19,200.0,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,10,4,1,0.1539073333333333,0.006821666332763251,0.015013066666666667,0.00025385476600257514,6.56752e-05,0.0,0.005725709999999999,8.673617379884035e-19,200.0,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,10,6,1,0.19394766666666666,0.007374913393088455,0.010808333333333335,0.00079572911778374,6.56752e-05,0.0,0.005725709999999999,8.673617379884035e-19,200.0,0.1,31.0,0.8,0.8,,,,,,
weak,DecisionTree,10,1,1,0.020799266666666667,8.644972848745883e-06,5.8139666666666665,0.0876363826019508,0.00049031,0.0,0.0108115,0.0,,,,,,,,,,,
weak,DecisionTree,10,2,1,0.02751033333333333,0.00012677058894799742,0.00012829966666666668,7.643755199871034e-06,0.000305357,0.0,0.00884728,0.0,,,,,,,,,,,
weak,DecisionTree,10,4,1,0.043888100000000006,0.0025747815531937217,0.0003247623333333333,9.130759454843952e-05,0.000117244,0.0,0.0050037,0.0,,,,,,,,,,,
weak,DecisionTree,10,6,1,0.059384033333333336,0.0010890849992335559,0.00035654599999999996,1.2407247881782665e-06,3.84635e-05,0.0,0.00342606,0.0,,,,,,,,,,,
weak,Bagging,10,1,1,4.198083333333333,0.00998090287610414,0.016045433333333334,0.0007157544193987824,0.00032122466666666664,7.305659191491353e-06,,,200.0,,,,,,,,,,
weak,Bagging,10,2,1,2.9808,0.062407403941092295,0.043126366666666666,0.004569351574956293,0.000193652,3.4798123512626354e-06,,,200.0,,,,,,,,,,
weak,Bagging,10,4,1,3.45178,0.06590237021534211,0.10512816666666668,0.009286476496617126,6.0986700000000003e-05,1.5899316735843327e-06,,,200.0,,,,,,,,,,
weak,Bagging,10,6,1,4.951090000000001,0.07014194940737434,0.15228966666666666,0.0008312020746418389,2.2711366666666667e-05,1.1946833146161398e-07,,,200.0,,,,,,,,,,
weak,Boosting,10,1,1,0.5154746666666666,0.0004924126544091119,0.0014706033333333334,4.103159866357745e-05,0.000298561,0.0,,,200.0,0.1,,,,,,,,,
weak,Boosting,10,2,1,0.8274940000000001,0.0027086339730572717,0.0018739899999999999,3.3082672201622394e-05,0.000143771,0.0,,,200.0,0.1,,,,,,,,,
weak,Boosting,10,4,1,1.5399633333333334,0.015615002045753614,0.002778693333333333,0.00047417593987417314,4.79702e-05,0.0,,,200.0,0.1,,,,,,,,,
weak,Boosting,10,6,1,2.3597,0.012295505954073811,0.0031454033333333333,0.0002358563321647783,1.53122e-05,0.0,,,200.0,0.1,,,,,,,,,
weak,LightGBM,10,1,1,0.054967833333333334,0.001852206857298133,0.010664966666666666,0.00024611337947286774,0.00056226,0.0,0.014249,0.0,200.0,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,2,1,0.09363166666666667,0.0006344433273000445,0.010724633333333332,0.0001610766346253311,0.000476256,0.0,0.0133753,0.0,200.0,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,4,1,0.129467,0.004741412728994041,0.009811886666666667,0.00013298521480057648,0.000166679,0.0,0.00847383,0.0,200.0,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,6,1,0.16805266666666666,0.011924756051546246,0.009753676666666667,0.00016350002494053547,6.56752e-05,0.0,0.005725709999999999,8.673617379884035e-19,200.0,0.1,31.0,0.8,0.8,,,,,,
