scaling,model,max_depth,num_threads,use_omp,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std,n_estimators,learning_rate,num_leaves,subsample,colsample_bytree
strong,DecisionTree,10,1,1,,,,,,,,,,,,,
strong,DecisionTree,10,2,1,,,,,,,,,,,,,
strong,DecisionTree,10,4,1,,,,,,,,,,,,,
strong,DecisionTree,10,6,1,,,,,,,,,,,,,
strong,Bagging,10,1,1,,,,,,,,,200.0,,,,
strong,Bagging,10,2,1,,,,,,,,,200.0,,,,
strong,Bagging,10,4,1,,,,,,,,,200.0,,,,
strong,Bagging,10,6,1,,,,,,,,,200.0,,,,
strong,Boosting,10,1,1,,,,,,,,,200.0,0.1,,,
strong,Boosting,10,2,1,,,,,,,,,200.0,0.1,,,
strong,Boosting,10,4,1,,,,,,,,,200.0,0.1,,,
strong,Boosting,10,6,1,,,,,,,,,200.0,0.1,,,
strong,LightGBM,10,1,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
strong,LightGBM,10,2,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
strong,LightGBM,10,4,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
strong,LightGBM,10,6,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
weak,DecisionTree,10,1,1,,,,,,,,,,,,,
weak,DecisionTree,10,2,1,,,,,,,,,,,,,
weak,DecisionTree,10,4,1,,,,,,,,,,,,,
weak,DecisionTree,10,6,1,,,,,,,,,,,,,
weak,Bagging,10,1,1,,,,,,,,,200.0,,,,
weak,Bagging,10,2,1,,,,,,,,,200.0,,,,
weak,Bagging,10,4,1,,,,,,,,,200.0,,,,
weak,Bagging,10,6,1,,,,,,,,,200.0,,,,
weak,Boosting,10,1,1,,,,,,,,,200.0,0.1,,,
weak,Boosting,10,2,1,,,,,,,,,200.0,0.1,,,
weak,Boosting,10,4,1,,,,,,,,,200.0,0.1,,,
weak,Boosting,10,6,1,,,,,,,,,200.0,0.1,,,
weak,LightGBM,10,1,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
weak,LightGBM,10,2,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
weak,LightGBM,10,4,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
weak,LightGBM,10,6,1,,,,,,,,,200.0,0.1,31.0,0.8,0.8
