node;pid;tid;core_id;sample_count;
fixot-brendan-MS-7C02;83038;83099;3;6;
fixot-brendan-MS-7C02;83038;83328;6;5;
fixot-brendan-MS-7C02;83038;83297;4;1;
fixot-brendan-MS-7C02;83038;83297;6;4;
fixot-brendan-MS-7C02;83038;83173;1;3;
fixot-brendan-MS-7C02;83038;83239;1;6;
fixot-brendan-MS-7C02;83038;83146;4;3;
fixot-brendan-MS-7C02;83038;83146;6;2;
fixot-brendan-MS-7C02;83038;83534;1;2;
fixot-brendan-MS-7C02;83038;83534;5;2;
fixot-brendan-MS-7C02;83038;83437;2;1;
fixot-brendan-MS-7C02;83038;83437;3;7;
fixot-brendan-MS-7C02;83038;83344;1;1;
fixot-brendan-MS-7C02;83038;83344;3;6;
fixot-brendan-MS-7C02;83038;83313;5;3;
fixot-brendan-MS-7C02;83038;83410;5;2;
fixot-brendan-MS-7C02;83038;83220;6;5;
fixot-brendan-MS-7C02;83038;83286;5;1;
fixot-brendan-MS-7C02;83038;83286;6;1;
fixot-brendan-MS-7C02;83038;83255;1;1;
fixot-brendan-MS-7C02;83038;83255;3;5;
fixot-brendan-MS-7C02;83038;83065;4;4;
fixot-brendan-MS-7C02;83038;83484;1;6;
fixot-brendan-MS-7C02;83038;83453;1;4;
fixot-brendan-MS-7C02;83038;83453;3;1;
fixot-brendan-MS-7C02;83038;83329;4;2;
fixot-brendan-MS-7C02;83038;83426;5;2;
fixot-brendan-MS-7C02;83038;83236;2;3;
fixot-brendan-MS-7C02;83038;83205;1;2;
fixot-brendan-MS-7C02;83038;83205;2;3;
fixot-brendan-MS-7C02;83038;83271;2;2;
fixot-brendan-MS-7C02;83038;83178;2;3;
fixot-brendan-MS-7C02;83038;83054;1;8;
fixot-brendan-MS-7C02;83038;83054;2;6;
fixot-brendan-MS-7C02;83038;83054;3;2;
fixot-brendan-MS-7C02;83038;83054;4;6;
fixot-brendan-MS-7C02;83038;83054;5;4;
fixot-brendan-MS-7C02;83038;83054;6;7;
fixot-brendan-MS-7C02;83038;83376;3;4;
fixot-brendan-MS-7C02;83038;83318;4;6;
fixot-brendan-MS-7C02;83038;83194;2;1;
fixot-brendan-MS-7C02;83038;83194;3;3;
fixot-brendan-MS-7C02;83038;83551;4;7;
fixot-brendan-MS-7C02;83038;83070;1;3;
fixot-brendan-MS-7C02;83038;83070;3;1;
fixot-brendan-MS-7C02;83038;83361;2;2;
