function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
469;MainEnsemble;DecisionTreeSingle::predict(double const*, int) const;;29.032253265381;0.13500000536442;0;0;0;0;0;8.6502109297726e-07;4.0223491204472e-09;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK18DecisionTreeSingle7predictEPKdi;;
460;MainEnsemble;void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];;25.806442260742;0.11999998241663;0;0;0;0;0;1.0752626657486;0.0049999724142253;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0;;
459;MainEnsemble;void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];;9.6774187088013;0.04500000923872;0;0;0;0;0;1.0812763093782e-06;5.0279358454475e-09;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt22__final_insertion_sortIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEENS0_5__ops15_Iter_less_iterEEvT_SB_T0_.isra.0;;
348;MainEnsemble;FeatureImportance::calculateNodeImportances(DecisionTreeSingle::Tree const*, double, double);;5.3763432502747;0.025000002235174;0;0;0;0;0;2.1505372524261;0.010000000707805;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN17FeatureImportance24calculateNodeImportancesEPKN18DecisionTreeSingle4TreeEdd;;
812;libc.so.6;__default_morecore;;4.3010740280151;0.019999999552965;0;0;0;0;0;4.3010740280151;0.019999999552965;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__default_morecore;;
475;MainEnsemble;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];;4.3010740280151;0.019999999552965;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN18DecisionTreeSingle16findBestSplitOMPERKSt6vectorIdSaIdEEiS4_RKS0_IiSaIiEEd._omp_fn.0;;
813;libc.so.6;__libc_malloc;;3.2258055210114;0.014999998733401;0;0;0;0;0;3.2258055210114;0.014999998733401;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
457;MainEnsemble;void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];;3.2258055210114;0.014999998733401;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt16__insertion_sortIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEENS0_5__ops15_Iter_less_iterEEvT_SB_T0_.isra.0;;
1261;libstdc++.so.6.0.33;operator new(unsigned long);;2.1505370140076;0.0099999997764826;0;0;0;0;0;2.1505370140076;0.0099999997764826;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_Znwm;;
814;libc.so.6;__libc_free;;2.1505370140076;0.0099999997764826;0;0;0;0;0;2.1505370140076;0.0099999997764826;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
297;MainEnsemble;std::default_delete<DecisionTreeSingle::Tree>::operator()(DecisionTreeSingle::Tree*) const [clone .isra.0];;2.1505370140076;0.0099999997764826;0;0;0;0;0;2.1505370140076;0.0099999997764826;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNKSt14default_deleteIN18DecisionTreeSingle4TreeEEclEPS1_.isra.0;;
3067;libstdc++.so.6.0.33;std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&);;1.0752685070038;0.0049999998882413;0;0;0;0;0;1.0752685070038;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale;;
1517;libstdc++.so.6.0.33;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;1.0752685070038;0.0049999998882413;0;0;0;0;0;1.0752685070038;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";_ZSt29_Rb_tree_insert_and_rebalancebPSt18_Rb_tree_node_baseS0_RS_;;
338;libc.so.6;__strtof128_nan;;1.0752685070038;0.0049999998882413;0;0;0;0;0;1.0752685070038;0.0049999998882413;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";__strtof128_nan;;
337;MainEnsemble;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [clone .isra.0];;1.0752685070038;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt8_Rb_treeIiSt4pairIKidESt10_Select1stIS2_ESt4lessIiESaIS2_EE8_M_eraseEPSt13_Rb_tree_nodeIS2_E.isra.0;;
335;MainEnsemble;DataIO::readCSV(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int&);;1.0752685070038;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN6DataIO7readCSVERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERi;;
308;libc.so.6;strtod;;1.0752685070038;0.0049999998882413;0;0;0;0;0;1.0752685070038;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";strtod;;
-1;MainEnsemble;unknown_function;;1.0752685070038;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
-1;libc.so.6;unknown_function;;1.0752685070038;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"0,100,0,0,0,0,0,0,0,0";Unknown function;;
