ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 777;MainEnsemble;;void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Innermost;0.075000002980232;0.12239819020033;26.322185516357;1.50;1.00;4.70;1.80;2;0.00;22.92;2.25;1.50;2.25;0.48;1.25
Loop 773;MainEnsemble;;void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Innermost;0.055000003427267;0.07462614774704;16.048631668091;1.03;1.00;4.13;2.07;2;0.00;19.82;2.58;2.50;2.58;0.63;1.25
Loop 779;MainEnsemble;;void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];InBetween;0.059999998658895;0.063319154083729;13.61701965332;1.33;1.20;5.33;2.00;8;0.00;19.23;4.00;3.00;3.33;0.75;2.00
Loop 776;MainEnsemble;;void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Outermost;0.035000000149012;0.050316117703915;10.82066822052;1.83;1.00;4.00;3.67;10;0.00;25.00;1.83;1.00;1.83;0.46;0.50
Loop 793;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.025000000372529;0.02741945721209;5.896656036377;1.00;4.00;4.00;1.00;25;0.00;24.34;40.00 - 52.00;40.00 - 52.00;10.00 - 13.00;10.00 - 13.00;40.00 - 52.00
Loop 772;MainEnsemble;;void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Outermost;0.019999999552965;0.024310035631061;5.2279634475708;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA
Loop 767;MainEnsemble;;void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Innermost;0.0099999997764826;0.014133740216494;3.0395133495331;1.03;1.00;4.13;2.07;2;0.00;19.82;2.58;2.50;2.58;0.63;1.25
Loop 795;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.0099999997764826;0.01272036600858;2.7355620861053;1.49;1.17;7.52;4.58;2;0.00;21.09;4.58;3.08;3.92;0.61;1.00
Loop 768;MainEnsemble;;void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Outermost;0.0099999997764826;0.0079148942604661;1.702127456665;1.60;1.07;6.04;2.46;40;0.00;21.21;16.00;10.00;15.00;2.65;6.50
Loop 794;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.0099999997764826;0.0070668701082468;1.5197566747665;1.00;1.00;1.41;3.22;1;55.56;56.94;9.67;9.67;9.67;6.83;3.00
