address;source_location;insn;indent
0x71a3f;:0;VMOVSD	(%RAX),%XMM9;
0x71a43;:0;MOV	0x8(%RAX),%EBX;
0x71a46;:0;MOV	%EBX,0x18(%RAX);
0x71a49;:0;VMOVSD	%XMM9,0x10(%RAX);
0x71a4e;:0;CMP	%R10,%RAX;
0x71a51;:0;JE	71ae0 <_ZSt16__insertion_sortIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEENS0_5__ops15_Iter_less_iterEEvT_SB_T0_.isra.0+0x1f0>;
0x71a57;:0;MOV	-0x8(%RAX),%ECX;
0x71a5a;:0;ADD	$-0x80,%RAX;
0x71a5e;:0;MOV	0x68(%RAX),%EBX;
0x71a61;:0;VMOVSD	0x70(%RAX),%XMM10;
0x71a66;:0;VMOVSD	0x60(%RAX),%XMM11;
0x71a6b;:0;VMOVSD	0x50(%RAX),%XMM12;
0x71a70;:0;VMOVSD	0x40(%RAX),%XMM13;
0x71a75;:0;VMOVSD	0x30(%RAX),%XMM14;
0x71a7a;:0;MOV	%ECX,0x88(%RAX);
0x71a80;:0;MOV	0x58(%RAX),%ECX;
0x71a83;:0;VMOVSD	0x20(%RAX),%XMM15;
0x71a88;:0;MOV	%EBX,0x78(%RAX);
0x71a8b;:0;VMOVSD	0x10(%RAX),%XMM1;
0x71a90;:0;MOV	0x48(%RAX),%EBX;
0x71a93;:0;MOV	%ECX,0x68(%RAX);
0x71a96;:0;MOV	0x38(%RAX),%ECX;
0x71a99;:0;VMOVSD	%XMM10,0x80(%RAX);
0x71aa1;:0;MOV	%EBX,0x58(%RAX);
0x71aa4;:0;MOV	0x28(%RAX),%EBX;
0x71aa7;:0;VMOVSD	%XMM11,0x70(%RAX);
0x71aac;:0;VMOVSD	%XMM12,0x60(%RAX);
0x71ab1;:0;VMOVSD	%XMM13,0x50(%RAX);
0x71ab6;:0;VMOVSD	%XMM14,0x40(%RAX);
0x71abb;:0;MOV	%ECX,0x48(%RAX);
0x71abe;:0;VMOVSD	%XMM15,0x30(%RAX);
0x71ac3;:0;VMOVSD	%XMM1,0x20(%RAX);
0x71ac8;:0;MOV	0x18(%RAX),%ECX;
0x71acb;:0;MOV	%EBX,0x38(%RAX);
0x71ace;:0;MOV	%ECX,0x28(%RAX);
0x71ad1;:0;JMP	71a3f <_ZSt16__insertion_sortIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEENS0_5__ops15_Iter_less_iterEEvT_SB_T0_.isra.0+0x14f>;
