address;source_location;insn;indent
0x71c70;:0;MOV	%RSI,%RAX;
0x71c73;:0;PUSH	%R15;
0x71c75;:0;PUSH	%R14;
0x71c77;:0;PUSH	%R13;
0x71c79;:0;SUB	%RDI,%RAX;
0x71c7c;:0;PUSH	%R12;
0x71c7e;:0;PUSH	%RBP;
0x71c7f;:0;PUSH	%RBX;
0x71c80;:0;SUB	$0x8,%RSP;
0x71c84;:0;MOV	%RDI,%R12;
0x71c87;:0;CMP	$0x100,%RAX;
0x71c8d;:0;JLE	720fa <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x48a>;
0x71c93;:0;MOV	%RDX,%R14;
0x71c96;:0;MOV	%RSI,%RDI;
0x71c99;:0;LEA	0x10(%R12),%RBP;
0x71c9e;:0;TEST	%RDX,%RDX;
0x71ca1;:0;JE	72122 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x4b2>;
0x71ca7;:0;SAR	$0x5,%RAX;(778) 
0x71cab;:0;VMOVSD	0x10(%R12),%XMM6;(778) 
0x71cb2;:0;DEC	%R14;(778) 
0x71cb5;:0;SAL	$0x4,%RAX;(778) 
0x71cb9;:0;ADD	%R12,%RAX;(778) 
0x71cbc;:0;VMOVSD	(%RAX),%XMM1;(778) 
0x71cc0;:0;VCOMISD	%XMM6,%XMM1;(778) 
0x71cc4;:0;JA	71ce0 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x70>;(778) 
0x71cc6;:0;VCOMISD	%XMM1,%XMM6;
0x71cca;:0;JNE	71dd0 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x160>;
0x71cd0;:0;MOV	0x8(%RAX),%ECX;
0x71cd3;:0;CMP	%ECX,0x18(%R12);
0x71cd8;:0;JGE	71dd0 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x160>;
0x71cde;:0;XCHG	%AX,%AX;
0x71ce0;:0;VMOVSD	-0x10(%RDI),%XMM2;
0x71ce5;:0;VCOMISD	%XMM1,%XMM2;
0x71ce9;:0;JA	71d10 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0xa0>;
0x71ceb;:0;VCOMISD	%XMM2,%XMM1;
0x71cef;:0;JNE	71e2f <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x1bf>;
0x71cf5;:0;MOV	-0x8(%RDI),%ESI;
0x71cf8;:0;CMP	%ESI,0x8(%RAX);
0x71cfb;:0;JGE	71e2f <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x1bf>;
0x71d01;:0;NOPW	%CS:(%RAX,%RAX,1);
0x71d0c;:0;NOPL	(%RAX);
0x71d10;:0;VMOVSD	(%R12),%XMM4;
