group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;MOV,MOV,;0,4,;0x7a1fb,0x7a0dc,;Not found;0;Success;8;8;0;8;0;2;
1;S;MOV,;0,;0x7a0c4,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x7a301,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;4,;0x7a150,;Not found;0;Success;4;4;0;4;0;1;
1;L;VCOMISD,;0,;0x7a1b8,;Indirect;0;Success;8;8;0;8;0;1;
61;LLLSLLLLLLSLLSLLSLSLLLLLLSLLSLLLLSLLLLLLSLLSLLLLSLLLLLLSLLSLL;MOV,MOV,VMOVSD,MOV,MOV,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,VMOVSD,MOV,MOV,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,VMOVSD,MOV,MOV,MOV,MOV,MOV,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,VMOVSD,MOV,MOV,MOV,MOV,MOV,CMP,MOV,CMP,MOV,MOV,MOV,MOV,MOV,MOV,MOV,CMP,;-184,-240,-192,-112,-168,-160,-136,-128,-272,-280,-168,-272,-264,-136,-184,-240,-208,-192,-112,-136,-128,-168,-160,-272,-264,-136,-272,-280,-168,-192,-208,-184,-240,-112,-168,-160,-136,-128,-272,-280,-168,-272,-264,-136,-192,-208,-184,-240,-112,-168,-160,-136,-128,-272,-280,-168,-272,-264,-136,-208,-256,;0x7a1ff,0x7a205,0x7a20f,0x7a21b,0x7a0b0,0x7a0b7,0x7a22e,0x7a235,0x7bc40,0x7bc47,0x7a0cb,0x7bca0,0x7bca7,0x7a246,0x7a0d6,0x7a0e0,0x7a0e7,0x7a0f2,0x7a0fe,0x7a2f0,0x7a2f7,0x7a112,0x7a119,0x7bd20,0x7bd27,0x7a30c,0x7bd00,0x7bd07,0x7a131,0x7bd13,0x7a138,0x7a13f,0x7a145,0x7a158,0x7a2c0,0x7a2c7,0x7a16c,0x7a173,0x7bc60,0x7bc67,0x7a2df,0x7bce0,0x7bce7,0x7a188,0x7bc73,0x7a18f,0x7a196,0x7a19c,0x7a1af,0x7a290,0x7a297,0x7a1c4,0x7a1cb,0x7bc80,0x7bc87,0x7a2ab,0x7bcc0,0x7bcc7,0x7a1dc,0x7a1e3,0x7a1ee,;Success;0;Success;440;92;348;172;0;1;
4;LLLL;MOV,MOV,MOV,MOV,;0,0,0,0,;0x7a20b,0x7a0ee,0x7a14c,0x7a1a3,;Success;0;Success;32;8;24;8;0;4;
1;S;MOV,;0,;0x7a126,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x7a2d4,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x7a17d,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x7a2a4,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x7a1d5,;Not found;0;Success;4;4;0;4;0;1;
1;L;MOV,;8,;0x7a1a7,;Not found;0;Success;4;4;0;4;0;1;
1;S;MOV,;0,;0x7a23f,;Not found;0;Success;4;4;0;4;0;1;
1;L;VCOMISD,;0,;0x7a223,;Indirect;0;Success;8;8;0;8;0;1;
1;L;VCOMISD,;0,;0x7a161,;Indirect;0;Success;8;8;0;8;0;1;
1;L;VCOMISD,;0,;0x7a107,;Indirect;0;Success;8;8;0;8;0;1;
