loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
127;MainEnsemble;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];1523;;Innermost;4.0716691017151;0.12499998509884;;;;;;4.0716691017151;0.12499998509884;;;;;;;;
126;MainEnsemble;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];1523;;Innermost;2.60586810112;0.079999983310699;;;;;;2.60586810112;0.079999983310699;;;;;;;;
165;MainEnsemble;Math::calculateMeanWithIndices(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&);2138;;Single;0.97720056772232;0.029999993741512;;;;;;0.97720056772232;0.029999993741512;;;;;;;;
112;MainEnsemble;DecisionTreeSingle::splitNode(DecisionTreeSingle::Tree*, std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, int);1510;;Single;0.97720056772232;0.029999993741512;;;;;;0.97720056772232;0.029999993741512;;;;;;;;
146;MainEnsemble;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);1828;;Outermost;0.97720056772232;0.029999993741512;;;;;;0.65146702528;0.019999995827675;;;;;;;;
167;MainEnsemble;Math::calculateMSEWithIndices(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&);2140;;Single;0.48860028386116;0.014999996870756;;;;;;0.48860028386116;0.014999996870756;;;;;;;;
147;MainEnsemble;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);1828;;Innermost;0.32573351264;0.0099999979138374;;;;;;0.32573351264;0.0099999979138374;;;;;;;;
148;MainEnsemble;void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter);1834;;Single;0.32573351264;0.0099999979138374;;;;;;0.32573351264;0.0099999979138374;;;;;;;;
128;MainEnsemble;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];1523;;Outermost;7.0032706260681;0.2149999588728;;;;;;0.16286675632;0.0049999989569187;;;;;;;;
98;MainEnsemble;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();1358;;Single;0.16286675632;0.0049999989569187;;;;;;0.16286675632;0.0049999989569187;;;;;;;;
125;MainEnsemble;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];1523;;Innermost;0.16286675632;0.0049999989569187;;;;;;0.16286675632;0.0049999989569187;;;;;;;;
