ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 127;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.13999997079372;0.096540786325932;3.1446576118469;1.75 - 1.41;1.78;5.19;1.83 - 1.41;2049;13.87;28.25;55.00;31.50 - 39.00;30.88;10.60;30.00 - 39.00
Loop 126;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.079999983310699;0.060557402670383;1.9725580215454;4.22;2.26;6.07;12.67;1;0.00;24.43;12.67;3.00;5.60;2.09;1.00
Loop 125;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.029999993741512;0.018430514261127;0.60034376382828;1.00;1.00;8.00;4.59;1;0.00;23.75;10.33;10.33;10.33;1.29;2.25
Loop 148;MainEnsemble;;void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter);Single;0.034999992698431;0.017552867531776;0.57175588607788;1.00;1.00;4.00;18.00;1;0.00;25.00;9.00;9.00;9.00;2.25;0.50
Loop 146;MainEnsemble;;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);Outermost;0.024999994784594;0.015797581523657;0.51458030939102;1.00;1.00;4.00;9.25;3;0.00;25.00;6.17;6.17;6.17;1.54;0.67
Loop 147;MainEnsemble;;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);Innermost;0.014999997802079;0.0096540786325932;0.31446576118469;1.00;1.00;4.00;6.67;1;0.00;25.00;3.33;3.33;3.33;0.83;0.50
Loop 140;MainEnsemble;;void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);Single;0.019999995827675;0.0061435047537088;0.20011457800865;1.00;1.00;4.00;12.00;1;0.00;25.00;6.00;6.00;6.00;1.50;0.50
Loop 165;MainEnsemble;;Math::calculateMeanWithIndices(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&);Single;0.029999993741512;0.0052658608183265;0.17152677476406;7.33;2.70;6.90;14.67;1;0.00;22.92;7.33;1.00;2.71;1.06;0.50
Loop 112;MainEnsemble;;DecisionTreeSingle::splitNode(DecisionTreeSingle::Tree*, std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, int);Single;0.029999993741512;0.0052658608183265;0.17152677476406;9.00;1.00;7.39;10.50;2;0.00;21.67;10.50;1.17;10.50;1.42;1.00
Loop 128;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Outermost;0.014999996870756;0.0035105738788843;0.11435119062662;4.13;1.00;6.57;33.00;2052;13.79;27.59;16.50;4.00;16.50;2.51;0.50
