function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
1874;MainEnsemble;bool std::operator< <double, int>(std::pair<double, int> const&, std::pair<double, int> const&);;23.999998092651;0.029999997466803;0;0;0;0;0;23.999998092651;0.029999997466803;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZStltIdiEbRKSt4pairIT_T0_ES5_;;
1524;MainEnsemble;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];;15.999999046326;0.019999999552965;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN18DecisionTreeSingle16findBestSplitOMPERKSt6vectorIdSaIdEEiS4_RKS0_IiSaIiEEd._omp_fn.0;;
1872;MainEnsemble;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >::operator--();;7.9999995231628;0.0099999997764826;0;0;0;0;0;7.9999995231628;0.0099999997764826;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS2_SaIS2_EEEmmEv;;
1273;MainEnsemble;int& std::forward<int&>(std::remove_reference<int&>::type&);;7.9999995231628;0.0099999997764826;0;0;0;0;0;7.9999995231628;0.0099999997764826;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt7forwardIRiEOT_RNSt16remove_referenceIS1_E4typeE;;
1938;MainEnsemble;std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&);;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt4swapIiENSt9enable_ifIXsrSt6__and_IJSt6__not_ISt15__is_tuple_likeIT_EESt21is_move_constructibleIS4_ESt18is_move_assignableIS4_EEE5valueEvE4typeERS4_SE_;;
1877;MainEnsemble;bool __gnu_cxx::__ops::_Val_less_iter::operator()<std::pair<double, int>, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > >(std::pair<double, int>&, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >) const;;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK9__gnu_cxx5__ops14_Val_less_iterclISt4pairIdiENS_17__normal_iteratorIPS4_St6vectorIS4_SaIS4_EEEEEEbRT_T0_;;
1830;MainEnsemble;void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter);;3.9999997615814;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZSt25__unguarded_linear_insertIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEENS0_5__ops14_Val_less_iterEEvT_T0_;;
1829;MainEnsemble;std::pair<double, int>::operator=(std::pair<double, int>&&);;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt4pairIdiEaSEOS0_;;
1733;MainEnsemble;std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > >::_S_relocate(std::pair<double, int>*, std::pair<double, int>*, std::pair<double, int>*, std::allocator<std::pair<double, int> >&);;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorISt4pairIdiESaIS1_EE11_S_relocateEPS1_S4_S4_RS2_;;
1683;MainEnsemble;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >::base() const;;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNK9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS2_SaIS2_EEE4baseEv;;
1606;MainEnsemble;std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > >::end();;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorISt4pairIdiESaIS1_EE3endEv;;
1604;MainEnsemble;std::pair<double, int>& std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > >::emplace_back<double const&, int&>(double const&, int&);;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorISt4pairIdiESaIS1_EE12emplace_backIJRKdRiEEERS1_DpOT_;;
1592;MainEnsemble;std::vector<int, std::allocator<int> >::push_back(int const&);;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZNSt6vectorIiSaIiEE9push_backERKi;;
1511;MainEnsemble;DecisionTreeSingle::splitNode(DecisionTreeSingle::Tree*, std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, int);;3.9999997615814;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0";_ZN18DecisionTreeSingle9splitNodeEPNS_4TreeERKSt6vectorIdSaIdEEiS6_RKS2_IiSaIiEEi;;
65;MainEnsemble;operator new(unsigned long, void*);;3.9999997615814;0.0049999998882413;0;0;0;0;0;3.9999997615814;0.0049999998882413;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";_ZnwmPv;;
