node;pid;tid;core_id;sample_count;
fixot-brendan-MS-7C02;36400;36410;1;131;
fixot-brendan-MS-7C02;36400;36410;2;119;
fixot-brendan-MS-7C02;36400;36410;4;20;
fixot-brendan-MS-7C02;36400;36410;6;419;
fixot-brendan-MS-7C02;36400;36407;4;109;
fixot-brendan-MS-7C02;36400;36407;5;425;
fixot-brendan-MS-7C02;36400;36407;6;175;
fixot-brendan-MS-7C02;36400;36400;1;413;
fixot-brendan-MS-7C02;36400;36400;2;29;
fixot-brendan-MS-7C02;36400;36400;4;102;
fixot-brendan-MS-7C02;36400;36400;5;149;
fixot-brendan-MS-7C02;36400;36400;6;18;
fixot-brendan-MS-7C02;36400;36411;1;109;
fixot-brendan-MS-7C02;36400;36411;2;2;
fixot-brendan-MS-7C02;36400;36411;3;579;
fixot-brendan-MS-7C02;36400;36409;4;471;
fixot-brendan-MS-7C02;36400;36409;5;147;
fixot-brendan-MS-7C02;36400;36409;6;89;
fixot-brendan-MS-7C02;36400;36408;2;585;
fixot-brendan-MS-7C02;36400;36408;3;121;
