ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 127;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.1799999922514;0.093686044216156;2.6353249549866;1.75 - 1.41;1.78;5.19;1.83 - 1.41;2049;13.87;28.25;55.00;31.50 - 39.00;30.88;10.60;30.00 - 39.00
Loop 126;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.10000001639128;0.060769330710173;1.709400177002;4.22;2.26;6.07;12.67;1;0.00;24.43;12.67;3.00;5.60;2.09;1.00
Loop 148;MainEnsemble;;void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter);Single;0.03999999910593;0.027852607890964;0.78347498178482;1.00;1.00;4.00;18.00;1;0.00;25.00;9.00;9.00;9.00;2.25;0.50
Loop 146;MainEnsemble;;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);Outermost;0.03999999538064;0.021944478154182;0.61728328466415;1.00;1.00;4.00;9.25;3;0.00;25.00;6.17;6.17;6.17;1.54;0.67
Loop 125;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.034999996423721;0.018568404018879;0.522316634655;1.00;1.00;8.00;4.59;1;0.00;23.75;10.33;10.33;10.33;1.29;2.25
Loop 147;MainEnsemble;;__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);Innermost;0.024999998509884;0.015192330814898;0.42734998464584;1.00;1.00;4.00;6.67;1;0.00;25.00;3.33;3.33;3.33;0.83;0.50
Loop 124;MainEnsemble;;DecisionTreeSingle::predict(std::vector<double, std::allocator<double> > const&) const;Single;0.049999997019768;0.0084401844069362;0.23741665482521;5.14;1.00;6.84;6.00;2;0.00;23.44;6.00;1.17;6.00;0.88;1.00
Loop 143;MainEnsemble;;std::pair<double, int>* std::__relocate_a_1<std::pair<double, int>*, std::pair<double, int>*, std::allocator<std::pair<double, int> > >(std::pair<double, int>*, std::pair<double, int>*, std::pair<double, int>*, std::allocator<std::pair<double, int> >&);Single;0.014999999664724;0.007596165407449;0.21367499232292;1.00;1.00;4.00;2.13;1;0.00;25.00;5.33;5.33;5.33;1.33;2.50
Loop 137;MainEnsemble;;void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter);Single;0.014999999664724;0.0067521478049457;0.18993334472179;1.00;1.00;4.00;6.67;1;0.00;25.00;6.67;6.67;6.67;1.67;1.00
Loop 112;MainEnsemble;;DecisionTreeSingle::splitNode(DecisionTreeSingle::Tree*, std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, int);Single;0.034999996423721;0.0059081283397973;0.16619165241718;9.00;1.00;7.39;10.50;2;0.00;21.67;10.50;1.17;10.50;1.42;1.00
Loop 140;MainEnsemble;;void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter);Single;0.0099999997764826;0.005064110737294;0.14245000481606;1.00;1.00;4.00;12.00;1;0.00;25.00;6.00;6.00;6.00;1.50;0.50
Loop 165;MainEnsemble;;Math::calculateMeanWithIndices(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&);Single;0.024999998509884;0.0042200922034681;0.11870832741261;7.33;2.70;6.90;14.67;1;0.00;22.92;7.33;1.00;2.71;1.06;0.50
Loop 102;MainEnsemble;;Boosting::train(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, int);Innermost;0.019999999552965;0.0033760739024729;0.094966672360897;3.85;2.63;6.74;6.05;1;0.00;24.67;21.17;5.50;8.04;3.14;3.50
Loop 128;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Outermost;0.014999999664724;0.002532055368647;0.071225002408028;4.13;1.00;6.57;33.00;2052;13.79;27.59;16.50;4.00;16.50;2.51;0.50
Loop 176;MainEnsemble;;int std::accumulate<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, int>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, int);Single;0.0099999997764826;0.0016880369512364;0.047483336180449;2.40;2.19;6.67;12.00;1;9.09;25.00;6.00;2.50;2.74;0.90;0.50
